Tanggal,Hari,Bulan,Tahun,Rayon,Weekend,Libur_Nasional,Jumlah Jukir,Total_Pendapatan
2023-02-23,Kamis,2,2023,4,0,0,122,1806000
2023-02-23,Kamis,2,2023,5,0,0,70,1944000
2023-02-24,Jumat,2,2023,1,0,0,80,1116000
2023-02-24,Jumat,2,2023,2,0,0,82,1710000
2023-02-24,Jumat,2,2023,3,0,0,66,1668000
2023-02-24,Jumat,2,2023,4,0,0,122,1660000
2023-02-24,Jumat,2,2023,5,0,0,70,1914000
2023-02-25,Sabtu,2,2023,1,1,0,80,875000
2023-02-25,Sabtu,2,2023,2,1,0,82,1701000
2023-02-25,Sabtu,2,2023,3,1,0,66,1650000
2023-02-25,Sabtu,2,2023,4,1,0,122,1258000
2023-02-25,Sabtu,2,2023,5,1,0,70,1850000
2023-02-26,Minggu,2,2023,1,1,0,80,125000
2023-02-26,Minggu,2,2023,2,1,0,82,600000
2023-02-26,Minggu,2,2023,3,1,0,66,135000
2023-02-26,Minggu,2,2023,4,1,0,122,835000
2023-02-26,Minggu,2,2023,5,1,0,70,187000
2023-02-27,Senin,2,2023,1,0,0,80,1080000
2023-02-27,Senin,2,2023,2,0,0,82,1661000
2023-02-27,Senin,2,2023,3,0,0,66,1594000
2023-02-27,Senin,2,2023,4,0,0,122,1467000
2023-02-27,Senin,2,2023,5,0,0,70,1901000
2023-02-28,Selasa,2,2023,1,0,0,80,1120000
2023-02-28,Selasa,2,2023,2,0,0,82,1691000
2023-02-28,Selasa,2,2023,3,0,0,66,1633000
2023-02-28,Selasa,2,2023,4,0,0,122,1768000
2023-02-28,Selasa,2,2023,5,0,0,70,1904000
2023-03-01,Rabu,3,2023,1,0,0,80,1162000
2023-03-01,Rabu,3,2023,2,0,0,82,1727000
2023-03-01,Rabu,3,2023,3,0,0,66,1701000
2023-03-01,Rabu,3,2023,4,0,0,122,1655000
2023-03-01,Rabu,3,2023,5,0,0,70,1925000
2023-03-02,Kamis,3,2023,1,0,0,80,1100000
2023-03-02,Kamis,3,2023,2,0,0,82,1730000
2023-03-02,Kamis,3,2023,3,0,0,66,1697000
2023-03-02,Kamis,3,2023,4,0,0,122,1682000
2023-03-02,Kamis,3,2023,5,0,0,70,1933000
2023-03-03,Jumat,3,2023,1,0,0,80,1120000
2023-03-03,Jumat,3,2023,2,0,0,82,1714000
2023-03-03,Jumat,3,2023,3,0,0,66,1717000
2023-03-03,Jumat,3,2023,4,0,0,122,1671000
2023-03-03,Jumat,3,2023,5,0,0,70,1875000
2023-03-04,Sabtu,3,2023,1,1,0,80,865000
2023-03-04,Sabtu,3,2023,2,1,0,82,1711000
2023-03-04,Sabtu,3,2023,3,1,0,66,1590000
2023-03-04,Sabtu,3,2023,4,1,0,122,1397000
2023-03-04,Sabtu,3,2023,5,1,0,70,1881000
2023-03-05,Minggu,3,2023,1,1,0,80,175000
2023-03-05,Minggu,3,2023,2,1,0,82,601000
2023-03-05,Minggu,3,2023,3,1,0,66,179000
2023-03-05,Minggu,3,2023,4,1,0,122,874000
2023-03-05,Minggu,3,2023,5,1,0,70,166000
2023-03-06,Senin,3,2023,1,0,0,80,1125000
2023-03-06,Senin,3,2023,2,0,0,82,1660000
2023-03-06,Senin,3,2023,3,0,0,66,1640000
2023-03-06,Senin,3,2023,4,0,0,122,1713000
2023-03-06,Senin,3,2023,5,0,0,70,1923000
2023-03-07,Selasa,3,2023,1,0,0,80,1115000
2023-03-07,Selasa,3,2023,2,0,0,82,1722000
2023-03-07,Selasa,3,2023,3,0,0,66,1695000
2023-03-07,Selasa,3,2023,4,0,0,122,1809000
2023-03-07,Selasa,3,2023,5,0,0,70,1925000
2023-03-08,Rabu,3,2023,1,0,0,80,1067000
2023-03-08,Rabu,3,2023,2,0,0,82,1720000
2023-03-08,Rabu,3,2023,3,0,0,66,1655000
2023-03-08,Rabu,3,2023,4,0,0,122,1901000
2023-03-08,Rabu,3,2023,5,0,0,70,1938000
2023-03-09,Kamis,3,2023,1,0,0,80,1123000
2023-03-09,Kamis,3,2023,2,0,0,82,1726000
2023-03-09,Kamis,3,2023,3,0,0,66,1704000
2023-03-09,Kamis,3,2023,4,0,0,122,1793000
2023-03-09,Kamis,3,2023,5,0,0,70,1933000
2023-03-10,Jumat,3,2023,1,0,0,80,1100000
2023-03-10,Jumat,3,2023,2,0,0,82,1700000
2023-03-10,Jumat,3,2023,3,0,0,66,1651000
2023-03-10,Jumat,3,2023,4,0,0,122,1772000
2023-03-10,Jumat,3,2023,5,0,0,70,1936000
2023-03-11,Sabtu,3,2023,1,1,0,80,855000
2023-03-11,Sabtu,3,2023,2,1,0,82,1685000
2023-03-11,Sabtu,3,2023,3,1,0,66,1721000
2023-03-11,Sabtu,3,2023,4,1,0,122,1455000
2023-03-11,Sabtu,3,2023,5,1,0,70,1926000
2023-03-12,Minggu,3,2023,1,1,0,80,125000
2023-03-12,Minggu,3,2023,2,1,0,82,608000
2023-03-12,Minggu,3,2023,3,1,0,66,150000
2023-03-12,Minggu,3,2023,4,1,0,122,842000
2023-03-12,Minggu,3,2023,5,1,0,70,187000
2023-03-13,Senin,3,2023,1,0,0,80,1123000
2023-03-13,Senin,3,2023,2,0,0,82,1720000
2023-03-13,Senin,3,2023,3,0,0,66,1679000
2023-03-13,Senin,3,2023,4,0,0,122,1893000
2023-03-13,Senin,3,2023,5,0,0,70,1931000
2023-03-14,Selasa,3,2023,1,0,0,80,1163000
2023-03-14,Selasa,3,2023,2,0,0,82,1715000
2023-03-14,Selasa,3,2023,3,0,0,66,1742000
2023-03-14,Selasa,3,2023,4,0,0,122,1893000
2023-03-14,Selasa,3,2023,5,0,0,70,1925000
2023-03-15,Rabu,3,2023,1,0,0,80,1122000
2023-03-15,Rabu,3,2023,2,0,0,82,1727000
2023-03-15,Rabu,3,2023,3,0,0,66,1670000
2023-03-15,Rabu,3,2023,4,0,0,122,1911000
2023-03-15,Rabu,3,2023,5,0,0,70,1956000
2023-03-16,Kamis,3,2023,1,0,0,80,1150000
2023-03-16,Kamis,3,2023,2,0,0,82,1730000
2023-03-16,Kamis,3,2023,3,0,0,66,1711000
2023-03-16,Kamis,3,2023,4,0,0,122,1910000
2023-03-16,Kamis,3,2023,5,0,0,70,1936000
2023-03-17,Jumat,3,2023,1,0,0,80,1110000
2023-03-17,Jumat,3,2023,2,0,0,82,1720000
2023-03-17,Jumat,3,2023,3,0,0,66,1696000
2023-03-17,Jumat,3,2023,4,0,0,122,1778000
2023-03-17,Jumat,3,2023,5,0,0,70,1949000
2023-03-18,Sabtu,3,2023,1,1,0,80,920000
2023-03-18,Sabtu,3,2023,2,1,0,82,1725000
2023-03-18,Sabtu,3,2023,3,1,0,66,1745000
2023-03-18,Sabtu,3,2023,4,1,0,122,1475000
2023-03-18,Sabtu,3,2023,5,1,0,70,1938000
2023-03-19,Minggu,3,2023,1,1,0,80,137000
2023-03-19,Minggu,3,2023,2,1,0,82,600000
2023-03-19,Minggu,3,2023,3,1,0,66,204000
2023-03-19,Minggu,3,2023,4,1,0,122,860000
2023-03-19,Minggu,3,2023,5,1,0,70,166000
2023-03-20,Senin,3,2023,1,0,0,80,1160000
2023-03-20,Senin,3,2023,2,0,0,82,1712000
2023-03-20,Senin,3,2023,3,0,0,66,1665000
2023-03-20,Senin,3,2023,4,0,0,122,1806000
2023-03-20,Senin,3,2023,5,0,0,70,1938000
2023-03-21,Selasa,3,2023,1,0,0,80,1110000
2023-03-21,Selasa,3,2023,2,0,0,82,1716000
2023-03-21,Selasa,3,2023,3,0,0,66,1746000
2023-03-21,Selasa,3,2023,4,0,0,122,1860000
2023-03-21,Selasa,3,2023,5,0,0,70,1948000
2023-03-22,Rabu,3,2023,1,0,0,80,475000
2023-03-22,Rabu,3,2023,2,0,0,82,1101000
2023-03-22,Rabu,3,2023,3,0,0,66,1490000
2023-03-22,Rabu,3,2023,4,0,0,122,725000
2023-03-22,Rabu,3,2023,5,0,0,70,1261000
2023-03-23,Kamis,3,2023,1,0,0,80,42000
2023-03-23,Kamis,3,2023,2,0,0,82,1140000
2023-03-23,Kamis,3,2023,3,0,0,66,1321000
2023-03-23,Kamis,3,2023,4,0,0,122,776000
2023-03-23,Kamis,3,2023,5,0,0,70,1341000
2023-03-24,Jumat,3,2023,1,0,0,80,620000
2023-03-24,Jumat,3,2023,2,0,0,82,1470000
2023-03-24,Jumat,3,2023,3,0,0,66,1449000
2023-03-24,Jumat,3,2023,4,0,0,122,1599000
2023-03-24,Jumat,3,2023,5,0,0,70,1750000
2023-03-25,Sabtu,3,2023,1,1,0,80,370000
